AuthorName,Age,Nationality,email,ArticleTitle,YearPublished,ConferenceName,Location,ISBN,DOI,Volume,Npages,Edition,keyword1,keyword2,keyword3,keyword4
Carol Critchlow,19,Irish,Ca7@gmail.com,Maximum Entropy and theG/G/1/NQueue.,1986,IEEE Conference on Computer Vision and Pattern Recognition,Israel,208-1-1-100197-6,1.6572/11011997118516,19,59,21,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
Carol Critchlow,19,Irish,Ca7@gmail.com,A theory of structural stationarity in thepi-Calculus.,2009,International Conference on Machine Learning,Brazil,804-2-6-100367-8,1.216/991201081055995,38,189,3,Machine Learning,Deep learning,NPL,Reinforcement Learning
Prakash Panangaden,72,Finnish,Pr9@gmail.com,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.,2000,IEEE Journal of Selected Areas in Communications,Germany,664-5-18-100102-7,8.69/991031061144082,6,125,6,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Robin Milner,64,Italian,Ro0@gmail.com,Maximum Entropy and theG/G/1/NQueue.,1986,International Conference on Computer Vision,Australia,789-8-0-100595-4,3.8268/114106971112461,53,166,28,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
Robin Milner,64,Italian,Ro0@gmail.com,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.,2000,NeuroImage,Netherlands,358-5-8-100034-7,4.5742/1151041131209445,67,95,7,sequence alignment,gene finding,genome assembly,drug design
Robin Milner,64,Italian,Ro0@gmail.com,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.,2000,AAAI Conference on Artificial Intelligence,Israel,114-1-2-100068-3,9.4627/1141161181058171,67,108,6,Machine Learning,Deep learning,NPL,Reinforcement Learning
John Darlington,26,Swedish,Jo11@gmail.com,A theory of structural stationarity in thepi-Calculus.,2009,IEEE Transactions on Wireless Communications,Italy,329-6-18-100771-1,0.7893/116108111109163,89,145,25,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
John Darlington,26,Swedish,Jo11@gmail.com,Disjunctivity and other properties of sets of pseudo-bordered words.,2017,NeuroImage,Netherlands,358-5-8-100034-7,4.5742/1151041131209445,67,95,7,sequence alignment,gene finding,genome assembly,drug design
Maria Calzarossa,18,Norwegian,Ma10@gmail.com,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.,2000,NeuroImage,Netherlands,358-5-8-100034-7,4.5742/1151041131209445,67,95,7,sequence alignment,gene finding,genome assembly,drug design
M. Italiani,43,Mexican,M.8@gmail.com,Disjunctivity and other properties of sets of pseudo-bordered words.,2017,IEEE Conference on Computer Vision and Pattern Recognition,Israel,208-1-1-100197-6,1.6572/11011997118516,19,59,21,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
M. Italiani,43,Mexican,M.8@gmail.com,Relational structures model of concurrency.,2008,Science,Netherlands,175-0-1-100082-0,3.7004/1021181091066417,67,52,18,sequence alignment,gene finding,genome assembly,drug design
Giuseppe Serazzi,74,Finnish,Gi13@gmail.com,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.,2000,IEEE Transactions on Information Theory,Argetina,120-1-11-100766-8,2.6564/113981201095993,9,193,5,computational complexity,data structures,parallel and distributed computation,probabilistic computation
Giuseppe Serazzi,74,Finnish,Gi13@gmail.com,Disjunctivity and other properties of sets of pseudo-bordered words.,2017,Annual Meeting of the Association for Computational Linguistics,Sweden,830-4-12-100040-4,5.224/1161081101111772,74,114,28,computational complexity,data structures,parallel and distributed computation,probabilistic computation
Giuseppe Serazzi,74,Finnish,Gi13@gmail.com,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.,1974,International Conference on Machine Learning,Brazil,804-2-6-100367-8,1.216/991201081055995,38,189,3,Machine Learning,Deep learning,NPL,Reinforcement Learning
Vincent Vajnovszki,28,Belgian,Vi16@gmail.com,Disjunctivity and other properties of sets of pseudo-bordered words.,2017,Science,Netherlands,175-0-1-100082-0,3.7004/1021181091066417,67,52,18,sequence alignment,gene finding,genome assembly,drug design
Vincent Vajnovszki,28,Belgian,Vi16@gmail.com,Relational structures model of concurrency.,2008,International Conference on Machine Learning,Brazil,804-2-6-100367-8,1.216/991201081055995,38,189,3,Machine Learning,Deep learning,NPL,Reinforcement Learning
Walter Vogler,40,American,Wa2@gmail.com,On an Equivalence between Continuation and Stack Semantics.,1977,IEEE Journal of Selected Areas in Communications,Germany,664-5-18-100102-7,8.69/991031061144082,6,125,6,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Walter Vogler,40,American,Wa2@gmail.com,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.,1974,IEEE Transactions on Cybernetics,Italy,222-4-14-100311-5,5.6164/11611197995254,78,117,4,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Walter Vogler,40,American,Wa2@gmail.com,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.,1989,NeuroImage,Netherlands,358-5-8-100034-7,4.5742/1151041131209445,67,95,7,sequence alignment,gene finding,genome assembly,drug design
Christian Stahl,39,Mexican,Ch13@gmail.com,Computational Algorithms for Networks of Queues with Rejection Blocking.,1989,International Conference on Machine Learning,Brazil,804-2-6-100367-8,1.216/991201081055995,38,189,3,Machine Learning,Deep learning,NPL,Reinforcement Learning
Luc Devroye,76,Finnish,Lu6@gmail.com,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.,1989,European Conference on Computer Vision,Russia,253-5-13-100302-5,7.7955/1101221211108518,83,88,12,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
Luc Devroye,76,Finnish,Lu6@gmail.com,Computational Algorithms for Networks of Queues with Rejection Blocking.,1989,Nucleic Acids Research,Germany,566-2-10-100502-8,2.8449/1001031031061503,79,71,8,sequence alignment,gene finding,genome assembly,drug design
T. C. Hu,29,Canadian,T.19@gmail.com,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.,1989,IEEE Transactions on Image Processing,Brazil,741-5-14-100542-7,8.3886/101113120979356,3,172,14,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
T. C. Hu,29,Canadian,T.19@gmail.com,Computational Algorithms for Networks of Queues with Rejection Blocking.,1989,IEEE Transactions on Image Processing,Sweden,830-4-12-100040-4,5.224/1161081101111772,74,114,1,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
T. C. Hu,29,Canadian,T.19@gmail.com,Compositional Refinements in Multiple Blackboard Systems.,1995,IEEE Transactions on Image Processing,Sweden,830-4-12-100040-4,5.224/1161081101111772,74,114,28,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
T. C. Hu,29,Canadian,T.19@gmail.com,Automatic verification of concurrent systems using a formula-based compositional approach.,2002,IEEE Transactions on Image Processing,Israel,208-1-1-100197-6,1.6572/11011997118516,19,59,21,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
K. C. Tan,52,British,K.0@gmail.com,Compositional Refinements in Multiple Blackboard Systems.,1995,Science,Netherlands,175-0-1-100082-0,3.7004/1021181091066417,67,52,18,sequence alignment,gene finding,genome assembly,drug design
William R. Franta,72,American,Wi16@gmail.com,"Special issue on """"Combining Compositionality and Concurrency"""": part 1.",2015,IEEE Journal of Selected Areas in Communications,Germany,664-5-18-100102-7,8.69/991031061144082,6,125,6,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
William R. Franta,72,American,Wi16@gmail.com,Automatic verification of concurrent systems using a formula-based compositional approach.,2002,IEEE Transactions on Neural Networks and Learning Systems,Israel,841-0-19-100447-0,0.5555/1081171011067451,78,139,8,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
William R. Franta,72,American,Wi16@gmail.com,Complete Problems for Space Bounded Subclasses of NP.,1985,Transactions on Geoscience and Remote Sensing,Israel,565-5-19-100564-8,3.1030/9911497115898,14,72,23,sequence alignment,gene finding,genome assembly,drug design
Ekkart Kindler,41,Mexican,Ek7@gmail.com,Automatic verification of concurrent systems using a formula-based compositional approach.,2002,International Conference on Computer Vision,Australia,789-8-0-100595-4,3.8268/114106971112461,53,166,28,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
Demetres D. Kouvatsos,39,Swedish,De0@gmail.com,On Removing the Machine from the Language.,1978,IEEE Transactions on Image Processing,Brazil,741-5-14-100542-7,8.3886/101113120979356,3,172,14,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
Demetres D. Kouvatsos,39,Swedish,De0@gmail.com,Complete Problems for Space Bounded Subclasses of NP.,1985,Nucleic Acids Research,Germany,566-2-10-100502-8,2.8449/1001031031061503,79,71,8,sequence alignment,gene finding,genome assembly,drug design
Sergei Gorlatch,72,Norwegian,Se11@gmail.com,Complete Problems for Space Bounded Subclasses of NP.,1985,IEEE Transactions on Information Theory,Argetina,120-1-11-100766-8,2.6564/113981201095993,9,193,5,computational complexity,data structures,parallel and distributed computation,probabilistic computation
Sergei Gorlatch,72,Norwegian,Se11@gmail.com,Two Notions of Correctness and Their Relation to Testing.,1982,IEEE Transactions on Cybernetics,Italy,222-4-14-100311-5,5.6164/11611197995254,78,117,4,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Christian Lengauer,76,American,Ch10@gmail.com,Complete Problems for Space Bounded Subclasses of NP.,1985,Nucleic Acids Research,Germany,566-2-10-100502-8,2.8449/1001031031061503,79,71,8,sequence alignment,gene finding,genome assembly,drug design
Christian Lengauer,76,American,Ch10@gmail.com,Best Huffman Trees.,1981,Information Sciences,Canada,309-8-1-100286-2,6.5709/1161181181072332,37,28,14,sequence alignment,gene finding,genome assembly,drug design
Roland Meyer,47,French,Ro10@gmail.com,Two Notions of Correctness and Their Relation to Testing.,1982,NeuroImage,Netherlands,358-5-8-100034-7,4.5742/1151041131209445,67,95,7,sequence alignment,gene finding,genome assembly,drug design
Roland Meyer,47,French,Ro10@gmail.com,Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.,1981,IEEE Transactions on Pattern Analysis and Machine Intelligence,Ecuador,738-8-4-100052-6,7.2263/1181101111226406,66,160,17,computational complexity,data structures,parallel and distributed computation,probabilistic computation
Stefan Reisch,68,Finnish,St5@gmail.com,Two Notions of Correctness and Their Relation to Testing.,1982,Science,Netherlands,175-0-1-100082-0,3.7004/1021181091066417,67,52,18,sequence alignment,gene finding,genome assembly,drug design
Stefan Reisch,68,Finnish,St5@gmail.com,Best Huffman Trees.,1981,Nucleic Acids Research,Germany,566-2-10-100502-8,2.8449/1001031031061503,79,71,8,sequence alignment,gene finding,genome assembly,drug design
Stefan Reisch,68,Finnish,St5@gmail.com,The Parsing Problem for Affix Grammars.,1977,IEEE Transactions on Information Theory,Argetina,120-1-11-100766-8,2.6564/113981201095993,9,193,5,computational complexity,data structures,parallel and distributed computation,probabilistic computation
Victor Mitrana,74,French,Vi5@gmail.com,The Parsing Problem for Affix Grammars.,1977,Information Sciences,Canada,309-8-1-100286-2,6.5709/1161181181072332,37,28,14,sequence alignment,gene finding,genome assembly,drug design
Victor Mitrana,74,French,Vi5@gmail.com,On Efficient Entreeings.,1993,Science,Netherlands,175-0-1-100082-0,3.7004/1021181091066417,67,52,18,sequence alignment,gene finding,genome assembly,drug design
Victor Mitrana,74,French,Vi5@gmail.com,Persistence of Vector Replacement Systems is Decidable.,1981,IEEE Transactions on Neural Networks and Learning Systems,Israel,841-0-19-100447-0,0.5555/1081171011067451,78,139,8,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Lila Kari,43,Finnish,Li6@gmail.com,Functional Behavior in Data Spaces.,1978,Annual Conference on Neural Information Processing Systems,Brazil,437-2-12-100288-0,1.7913/103109114976672,57,159,2,Machine Learning,Deep learning,NPL,Reinforcement Learning
Manasi S. Kulkarni,31,American,Ma10@gmail.com,On Efficient Entreeings.,1993,AAAI Conference on Artificial Intelligence,Israel,114-1-2-100068-3,9.4627/1141161181058171,67,108,6,Machine Learning,Deep learning,NPL,Reinforcement Learning
Manasi S. Kulkarni,31,American,Ma10@gmail.com,Persistence of Vector Replacement Systems is Decidable.,1981,AAAI Conference on Artificial Intelligence,Brazil,437-2-12-100288-0,1.7913/103109114976672,57,159,2,Machine Learning,Deep learning,NPL,Reinforcement Learning
Manasi S. Kulkarni,31,American,Ma10@gmail.com,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.,1997,AAAI Conference on Artificial Intelligence,Netherlands,358-5-8-100034-7,4.5742/1151041131209445,67,95,7,Machine Learning,Deep learning,NPL,Reinforcement Learning
Manasi S. Kulkarni,31,American,Ma10@gmail.com,Functional Behavior in Data Spaces.,1978,AAAI Conference on Artificial Intelligence,Israel,565-5-19-100564-8,3.1030/9911497115898,14,72,23,Machine Learning,Deep learning,NPL,Reinforcement Learning
Manasi S. Kulkarni,31,American,Ma10@gmail.com,Inductive Completion with Retracts.,1988,AAAI Conference on Artificial Intelligence,Sweden,830-4-12-100040-4,5.224/1161081101111772,74,114,28,Machine Learning,Deep learning,NPL,Reinforcement Learning
Ryszard Janicki,50,German,Ry8@gmail.com,Functional Behavior in Data Spaces.,1978,Nucleic Acids Research,Germany,566-2-10-100502-8,2.8449/1001031031061503,79,71,8,sequence alignment,gene finding,genome assembly,drug design
Bruce Russell,25,Norwegian,Br11@gmail.com,Inductive Completion with Retracts.,1988,IEEE Transactions on Neural Networks and Learning Systems,Israel,841-0-19-100447-0,0.5555/1081171011067451,78,139,8,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Bruce Russell,25,Norwegian,Br11@gmail.com,Sometime = Always + Recursion = Always on the Equivalence of the Intermittent and Invariant Assertions Methods for Proving Inevitability Properties of Programs.,1987,Transactions on Geoscience and Remote Sensing,Israel,565-5-19-100564-8,3.1030/9911497115898,14,72,23,sequence alignment,gene finding,genome assembly,drug design
Andrzej Ehrenfeucht,23,French,An0@gmail.com,Functional Behavior in Data Spaces.,1978,IEEE Journal of Selected Areas in Communications,Germany,664-5-18-100102-7,8.69/991031061144082,6,125,6,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Andrzej Ehrenfeucht,23,French,An0@gmail.com,Inductive Completion with Retracts.,1988,IEEE Transactions on Image Processing,Brazil,741-5-14-100542-7,8.3886/101113120979356,3,172,14,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
Andrzej Ehrenfeucht,23,French,An0@gmail.com,Sometime = Always + Recursion = Always on the Equivalence of the Intermittent and Invariant Assertions Methods for Proving Inevitability Properties of Programs.,1987,Transactions on Geoscience and Remote Sensing,Israel,565-5-19-100564-8,3.1030/9911497115898,14,72,23,sequence alignment,gene finding,genome assembly,drug design
Andrzej Ehrenfeucht,23,French,An0@gmail.com,Modelling higher-order dual nondeterminacy.,2008,IEEE Transactions on Image Processing,Brazil,741-5-14-100542-7,8.3886/101113120979356,3,172,14,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
