AuthorName,Age,Nationality,email,ArticleTitle,YearPublished,JournalName,Location,ISBN,DOI,Volume,Npages,Edition,keyword1,keyword2,keyword3,keyword4
Chua-Huang Huang,59,Scottish,Ch9@gmail.com,Equational weighted tree transformations.,2010,Decision Support Systems,Sweden,427-0-12-100429-6,1.3550/1221211031117984,77,195,17,Telephony,Data Breaches,drug design,Recommender Systems
Chua-Huang Huang,59,Scottish,Ch9@gmail.com,Merged processes: a new condensed representation of Petri net behaviour.,2011,Decision Support Systems,Sweden,427-0-12-100429-6,1.3550/1221211031117984,77,195,17,machine learning,Delay-tolerant networking,Data storage and physical design,computational economics
Alain Finkel,32,Scottish,Al7@gmail.com,Equational weighted tree transformations.,2009,IEEE Transactions on Pattern Analysis and Machine Intelligence,Italy,593-5-0-100366-6,8.9215/98981221127173,81,173,6,Energy lab,Numerical linear algebra,Numerical linear algebra,affective computing
Annie Choquet,35,Mexican,An1@gmail.com,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.,2013,Neural Computation,Australia,710-0-11-100051-3,7.1395/9711399972279,23,81,4,Data storage and physical design,Augmented Reality,Metadata management,Telemetry
Annie Choquet,35,Mexican,An1@gmail.com,Calculi for Interaction.,2007,ACM Transactions on Database Systems,Canada,652-3-0-100702-8,5.8643/991031091186135,50,125,11,Consistency,Image-based Rendering and Animation,Optimization,domain-specific languages
Joachim Biskup,35,Norwegian,Jo3@gmail.com,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.,2006,Decision Support Systems,Sweden,427-0-12-100429-6,1.3550/1221211031117984,77,195,17,Elementary and special functions,computational biology,Interpolation and approximation,Machine Learning
Joachim Biskup,35,Norwegian,Jo3@gmail.com,A Three-Stage Construction for Multiconnection Networks.,2011,ACM Transactions on Computer Systems,Israel,768-4-14-100698-1,4.413/1191051041164320,60,66,2,Optimization,3D Scene Analysis,3D Modelling of Humans,database systems
Joachim Biskup,35,Norwegian,Jo3@gmail.com,The Expressive Power of Delay Operators in SCCS.,2005,Journal of Documentation,Argetina,570-7-12-100732-1,1.7381/101113981093336,28,74,28,distributed programming,Mobile Protection,Delay-tolerant networking,Technology-enhanced learning
Joachim Biskup,35,Norwegian,Jo3@gmail.com,A Synthesis of Several Sorting Algorithms.,2005,Artificial Intelligence,Ecuador,884-2-10-100626-4,6.446/1011041061042659,25,157,15,Internet of Things,digital health,Elementary and special functions,Scalable data analysis and query processing
Symeon Bozapalidis,23,Finnish,Sy15@gmail.com,A Three-Stage Construction for Multiconnection Networks.,2008,ACM Transactions on Algorithms,Australia,464-1-18-100009-6,2.2853/105117991209420,46,58,14,domain-specific languages,Biomedical Image Analysis,language semantics,Optimization
Symeon Bozapalidis,23,Finnish,Sy15@gmail.com,A Workload Model Representative of Static and Dynamic Characteristics.,2008,IEEE Transactions on Computers,Canada,196-7-0-100135-7,2.5793/1181021031108195,79,40,12,Safe Computing,Deep Learning,Data cleaning,digital technology for older people
George Rahonis,26,American,Ge1@gmail.com,A Workload Model Representative of Static and Dynamic Characteristics.,2007,ACM Computing Surveys,Argetina,160-4-3-100721-5,2.9729/1151171171184545,65,30,11,Secure Passwords,protein structure alignment,using data to design user interfaces,automata theory
George Rahonis,26,American,Ge1@gmail.com,Gray visiting Motzkins.,2014,ACM Transactions on Graphics,Italy,457-8-10-100783-0,9.2664/1011171101154587,13,90,24,Medical device software,automated theorem proving,Data storage and physical design,parallel and distributed computation
Victor Khomenko,59,Belgian,Vi5@gmail.com,A Synthesis of Several Sorting Algorithms.,2014,Journal of Cryptology,Australia,819-2-11-100382-5,6.6117/117121115106231,51,104,17,Robotics,computational biology,human-centred design in intelligent environments,Electronic warfare engineering
Victor Khomenko,59,Belgian,Vi5@gmail.com,A Workload Model Representative of Static and Dynamic Characteristics.,2011,Journal of Documentation,Argetina,570-7-12-100732-1,1.7381/101113981093336,28,74,28,Medical device software,Avionics software,Elementary and special functions,Consistency
Victor Khomenko,59,Belgian,Vi5@gmail.com,Gray visiting Motzkins.,2011,IEEE Transactions on Fuzzy Systems,Ecuador,817-4-9-100423-0,1.5277/97117110113105,2,37,12,parallel and distributed computation,Service and cloud computing,Service and cloud computing,coordination and reliability
Victor Khomenko,59,Belgian,Vi5@gmail.com,Branching Processes in the Analysis of the Heights of Trees.,2005,Decision Support Systems,Sweden,427-0-12-100429-6,1.3550/1221211031117984,77,195,17,protein structure prediction,protein structure prediction,Data storage and physical design,Medical device software
Alex Kondratyev,23,Finnish,Al8@gmail.com,Branching Processes in the Analysis of the Heights of Trees.,2006,Journal of Management Information Systems,Argetina,156-0-4-100452-4,1.3481/1181151111026356,82,137,21,Machine Learning,pervasive computing and collaboration,language implementation,parallel and distributed computation
Alex Kondratyev,23,Finnish,Al8@gmail.com,Least Upper Bound on the Cost of Optimum Binary Search Trees.,2008,Machine Learning,Netherlands,187-6-5-100382-7,5.6142/100104991088801,85,138,12,automated theorem proving,distributed programming,language semantics,Telephony
Maciej Koutny,20,Belgian,Ma8@gmail.com,Gray visiting Motzkins.,2009,Information Research-An International Electronic Journal,Germany,292-1-15-100463-5,9.6614/1111121121084242,69,91,5,quantum computation,Finding roots of nonlinear equations,type theory,Numerical linear algebra
Maciej Koutny,20,Belgian,Ma8@gmail.com,Branching Processes in the Analysis of the Heights of Trees.,2011,Information Research-An International Electronic Journal,Germany,292-1-15-100463-5,9.6614/1111121121084242,69,91,5,vision and graphics,Elementary and special functions,data transformation,Secure data processing
Maciej Koutny,20,Belgian,Ma8@gmail.com,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.,2006,Quantum Information & Computation,Canada,522-0-13-100675-6,3.9916/115105971031077,3,124,1,Elementary and special functions,computational biology,concurrency,Online Scams
Walter Vogler,19,German,Wa4@gmail.com,Least Upper Bound on the Cost of Optimum Binary Search Trees.,2008,Quantum Information & Computation,Canada,522-0-13-100675-6,3.9916/115105971031077,3,124,1,Mobile Protection,coordination and reliability,distributed programming,digital health
Walter Vogler,19,German,Wa4@gmail.com,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.,2007,Journal of Cryptology,Australia,819-2-11-100382-5,6.6117/117121115106231,51,104,17,protein structure alignment,digital technology for older people,Augmented Reality,protein structure alignment
Wim H. Hesselink,49,Italian,Wi17@gmail.com,Least Upper Bound on the Cost of Optimum Binary Search Trees.,2012,ACM Transactions on Algorithms,Australia,464-1-18-100009-6,2.2853/105117991209420,46,58,14,Data Breaches,Robotics,Computer Vision,Delay-tolerant networking
Wim H. Hesselink,49,Italian,Wi17@gmail.com,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.,2009,Journal of Management Information Systems,Argetina,156-0-4-100452-4,1.3481/1181151111026356,82,137,21,Consistency,Deep Learning,Mobile Protection,Avionics software
Wim H. Hesselink,49,Italian,Wi17@gmail.com,Maximum Entropy and theG/G/1/NQueue.,2005,Neural Computation,Australia,710-0-11-100051-3,7.1395/9711399972279,23,81,4,artificial intelligence,machine learning,Internet of Things,Delay-tolerant networking
Christian Ronse,24,Canadian,Ch18@gmail.com,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.,2011,ACM Transactions on Database Systems,Canada,652-3-0-100702-8,5.8643/991031091186135,50,125,11,language semantics,Malware,digital health,parallel and distributed computation
Carol Critchlow,19,Irish,Ca7@gmail.com,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.,2007,Information Research-An International Electronic Journal,Germany,292-1-15-100463-5,9.6614/1111121121084242,69,91,5,pervasive computing and collaboration,Machine Learning,networking,Deep Learning
Prakash Panangaden,72,Finnish,Pr9@gmail.com,Maximum Entropy and theG/G/1/NQueue.,2008,ACM Computing Surveys,Argetina,160-4-3-100721-5,2.9729/1151171171184545,65,30,11,concurrency,drug discovery,networking,computer security
Prakash Panangaden,72,Finnish,Pr9@gmail.com,A theory of structural stationarity in thepi-Calculus.,2008,ACM Computing Surveys,Argetina,160-4-3-100721-5,2.9729/1151171171184545,65,30,11,Natural Language Processing,Electronic warfare engineering,digital health,affective computing
Robin Milner,64,Italian,Ro0@gmail.com,A theory of structural stationarity in thepi-Calculus.,2011,Algorithmica,China,288-0-5-100449-8,5.7659/1001001221185599,86,23,24,pervasive computing and collaboration,Finding roots of nonlinear equations,database systems,database systems
John Darlington,26,Swedish,Jo11@gmail.com,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.,2005,Journal of Management Information Systems,Argetina,156-0-4-100452-4,1.3481/1181151111026356,82,137,21,Natural Language Processing,data transformation,protein structure prediction,coordination and reliability
John Darlington,26,Swedish,Jo11@gmail.com,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.,2005,Journal of Management Information Systems,Argetina,156-0-4-100452-4,1.3481/1181151111026356,82,137,21,Online Scams,computational complexity,Deep Learning,Interpolation and approximation
Maria Calzarossa,18,Norwegian,Ma10@gmail.com,A theory of structural stationarity in thepi-Calculus.,2014,Quantum Information & Computation,Canada,522-0-13-100675-6,3.9916/115105971031077,3,124,1,protein structure alignment,domain-specific languages,distributed programming,Numerical linear algebra
Maria Calzarossa,18,Norwegian,Ma10@gmail.com,Disjunctivity and other properties of sets of pseudo-bordered words.,2010,Machine Learning,Netherlands,187-6-5-100382-7,5.6142/100104991088801,85,138,12,Internet of Things,gene finding,protein structure alignment,vision and graphics
Maria Calzarossa,18,Norwegian,Ma10@gmail.com,Relational structures model of concurrency.,2011,ACM Transactions on Algorithms,Australia,464-1-18-100009-6,2.2853/105117991209420,46,58,14,Service and cloud computing,probabilistic computation,database systems,3D Modelling of Humans
M. Italiani,43,Mexican,M.8@gmail.com,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.,2014,IEEE Transactions on Pattern Analysis and Machine Intelligence,Italy,593-5-0-100366-6,8.9215/98981221127173,81,173,6,3D Scene Analysis,3D Modelling of Humans,Security,affective computing
M. Italiani,43,Mexican,M.8@gmail.com,On an Equivalence between Continuation and Stack Semantics.,2012,IEEE Transactions on Computers,Canada,196-7-0-100135-7,2.5793/1181021031108195,79,40,12,Robotics,Elementary and special functions,language semantics,computer security
Giuseppe Serazzi,74,Finnish,Gi13@gmail.com,Relational structures model of concurrency.,2011,ACM Transactions on Computer-Human Interaction,Mexico,214-5-17-100517-2,4.1929/10310398973494,50,162,16,vision and graphics,language implementation,Delay-tolerant networking,concurrency
Giuseppe Serazzi,74,Finnish,Gi13@gmail.com,On an Equivalence between Continuation and Stack Semantics.,2012,Journal of Cryptology,Australia,819-2-11-100382-5,6.6117/117121115106231,51,104,17,networking,sequence alignment,pervasive computing and collaboration,algebra
Vincent Vajnovszki,28,Belgian,Vi16@gmail.com,On an Equivalence between Continuation and Stack Semantics.,2008,Machine Learning,Netherlands,187-6-5-100382-7,5.6142/100104991088801,85,138,12,Data cleaning,computational economics,Safe Computing,Computer Vision
Vincent Vajnovszki,28,Belgian,Vi16@gmail.com,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.,2008,Journal of Documentation,Argetina,570-7-12-100732-1,1.7381/101113981093336,28,74,28,Scalable data analysis and query processing,probabilistic computation,Malware,Computational Video
Vincent Vajnovszki,28,Belgian,Vi16@gmail.com,A Note on the Density of Inherently Ambiguous Context-free Languages.,2007,Annual Review of Information Science and Technology,Brazil,716-6-11-100606-8,0.5624/103118110106696,37,89,21,Safe Computing,digital health,vision and graphics,Energy lab
Walter Vogler,40,American,Wa2@gmail.com,Relational structures model of concurrency.,2012,Machine Learning,Netherlands,187-6-5-100382-7,5.6142/100104991088801,85,138,12,Augmented Reality,gene finding,computational biology,protein structure alignment
Walter Vogler,40,American,Wa2@gmail.com,A Note on the Density of Inherently Ambiguous Context-free Languages.,2006,Neural Computation,Australia,710-0-11-100051-3,7.1395/9711399972279,23,81,4,Malware,genome assembly,drug discovery,Interpolation and approximation
Christian Stahl,39,Mexican,Ch13@gmail.com,On an Equivalence between Continuation and Stack Semantics.,2005,ACM Transactions on Graphics,Italy,457-8-10-100783-0,9.2664/1011171101154587,13,90,24,digital technology for older people,Internet of Things,Deep Learning,protein structure prediction
Christian Stahl,39,Mexican,Ch13@gmail.com,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.,2006,Algorithmica,China,288-0-5-100449-8,5.7659/1001001221185599,86,23,24,Medical device software,Natural Language Processing,drug discovery,Malware
Christian Stahl,39,Mexican,Ch13@gmail.com,A Note on the Density of Inherently Ambiguous Context-free Languages.,2012,IEEE Transactions on Computers,Canada,196-7-0-100135-7,2.5793/1181021031108195,79,40,12,genome assembly,digital technology for older people,Mobile Protection,Scalable internet services
Christian Stahl,39,Mexican,Ch13@gmail.com,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.,2008,ACM Transactions on Graphics,Italy,457-8-10-100783-0,9.2664/1011171101154587,13,90,24,affective computing,domain-specific languages,cryptography,gene finding
Luc Devroye,76,Finnish,Lu6@gmail.com,A Note on the Density of Inherently Ambiguous Context-free Languages.,2007,Annual Review of Information Science and Technology,Brazil,716-6-11-100606-8,0.5624/103118110106696,37,89,21,computational biology,using data to design user interfaces,type theory,drug discovery
Luc Devroye,76,Finnish,Lu6@gmail.com,Compositional Refinements in Multiple Blackboard Systems.,2010,ACM Transactions on Computer Systems,Israel,768-4-14-100698-1,4.413/1191051041164320,60,66,2,protein structure alignment,Heating Ventilation,digital technology for older people,artificial intelligence
Luc Devroye,76,Finnish,Lu6@gmail.com,"Special issue on """"Combining Compositionality and Concurrency"""": part 1.",2013,ACM Transactions on Computer Systems,Israel,768-4-14-100698-1,4.413/1191051041164320,60,66,2,algebra,concurrency,3D Modelling of Humans,Delay-tolerant networking
T. C. Hu,29,Canadian,T.19@gmail.com,"Special issue on """"Combining Compositionality and Concurrency"""": part 1.",2012,Neural Computation,Australia,710-0-11-100051-3,7.1395/9711399972279,23,81,4,Secure data processing,using data to design user interfaces,language implementation,Declarative languages and runtime systems
K. C. Tan,52,British,K.0@gmail.com,Computational Algorithms for Networks of Queues with Rejection Blocking.,2014,IEEE Transactions on Computers,Canada,196-7-0-100135-7,2.5793/1181021031108195,79,40,12,computational biology,Robotics,3D Scene Analysis,data structures
K. C. Tan,52,British,K.0@gmail.com,"Special issue on """"Combining Compositionality and Concurrency"""": part 1.",2012,ACM Transactions on Graphics,Italy,457-8-10-100783-0,9.2664/1011171101154587,13,90,24,using data to design user interfaces,Scalable data analysis and query processing,data structures,domain-specific languages
K. C. Tan,52,British,K.0@gmail.com,Automatic verification of concurrent systems using a formula-based compositional approach.,2006,ACM Transactions on Computer Systems,Israel,768-4-14-100698-1,4.413/1191051041164320,60,66,2,Robotics,Data cleaning,Augmented Reality,automata theory
K. C. Tan,52,British,K.0@gmail.com,On Removing the Machine from the Language.,2006,Neural Computation,Australia,710-0-11-100051-3,7.1395/9711399972279,23,81,4,concurrency,artificial intelligence,Data storage and physical design,gene finding
William R. Franta,72,American,Wi16@gmail.com,Compositional Refinements in Multiple Blackboard Systems.,2014,Artificial Intelligence,Ecuador,884-2-10-100626-4,6.446/1011041061042659,25,157,15,Automotive software,data transformation,Metadata management,type theory
William R. Franta,72,American,Wi16@gmail.com,On Removing the Machine from the Language.,2006,Machine Learning,Netherlands,187-6-5-100382-7,5.6142/100104991088801,85,138,12,Secure Passwords,Online Scams,Consistency,Numerical linear algebra
Ekkart Kindler,41,Mexican,Ek7@gmail.com,"Special issue on """"Combining Compositionality and Concurrency"""": part 1.",2014,Quantum Information & Computation,Canada,522-0-13-100675-6,3.9916/115105971031077,3,124,1,Secure Passwords,protein structure alignment,coordination and reliability,protein structure prediction
Ekkart Kindler,41,Mexican,Ek7@gmail.com,On Removing the Machine from the Language.,2014,Algorithmica,China,288-0-5-100449-8,5.7659/1001001221185599,86,23,24,Service and cloud computing,Mobile Protection,Automotive software,database systems
Ekkart Kindler,41,Mexican,Ek7@gmail.com,Complete Problems for Space Bounded Subclasses of NP.,2006,IEEE Transactions on Computers,Canada,196-7-0-100135-7,2.5793/1181021031108195,79,40,12,Computational Video,3D Modelling of Humans,Deep Learning,digital health
Demetres D. Kouvatsos,39,Swedish,De0@gmail.com,Automatic verification of concurrent systems using a formula-based compositional approach.,2008,IEEE Transactions on Fuzzy Systems,Ecuador,817-4-9-100423-0,1.5277/97117110113105,2,37,12,Computer Vision,Consistency,Electronic warfare engineering,Data storage and physical design
Demetres D. Kouvatsos,39,Swedish,De0@gmail.com,Two Notions of Correctness and Their Relation to Testing.,2007,ACM Computing Surveys,Argetina,160-4-3-100721-5,2.9729/1151171171184545,65,30,11,Metadata management,domain-specific languages,Technology-enhanced learning,genome assembly
Sergei Gorlatch,72,Norwegian,Se11@gmail.com,On Removing the Machine from the Language.,2010,ACM Transactions on Algorithms,Australia,464-1-18-100009-6,2.2853/105117991209420,46,58,14,data transformation,Reinforcement Learning,digital technology for older people,Secure Passwords
Sergei Gorlatch,72,Norwegian,Se11@gmail.com,Best Huffman Trees.,2011,Journal of Management Information Systems,Argetina,156-0-4-100452-4,1.3481/1181151111026356,82,137,21,Computer Vision,Augmented Reality,vision and graphics,Consistency
Christian Lengauer,76,American,Ch10@gmail.com,Two Notions of Correctness and Their Relation to Testing.,2012,Artificial Intelligence,Ecuador,884-2-10-100626-4,6.446/1011041061042659,25,157,15,probabilistic computation,using data to design user interfaces,Security,cryptography
Christian Lengauer,76,American,Ch10@gmail.com,Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.,2007,Algorithmica,China,288-0-5-100449-8,5.7659/1001001221185599,86,23,24,protein structure alignment,computer security,Internet of Things,coordination and reliability
Roland Meyer,47,French,Ro10@gmail.com,Best Huffman Trees.,2009,Artificial Intelligence,Ecuador,884-2-10-100626-4,6.446/1011041061042659,25,157,15,Deep Learning,vision and graphics,Scalable data analysis and query processing,Data cleaning
Roland Meyer,47,French,Ro10@gmail.com,The Parsing Problem for Affix Grammars.,2009,ACM Transactions on Algorithms,Australia,464-1-18-100009-6,2.2853/105117991209420,46,58,14,Privacy,Scalable data analysis and query processing,Internet of Things,Deep Learning
Stefan Reisch,68,Finnish,St5@gmail.com,Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.,2013,IEEE Transactions on Computers,Canada,196-7-0-100135-7,2.5793/1181021031108195,79,40,12,Augmented Reality,Energy lab,Consistency,Heating Ventilation
Stefan Reisch,68,Finnish,St5@gmail.com,On Efficient Entreeings.,2010,Decision Support Systems,Sweden,427-0-12-100429-6,1.3550/1221211031117984,77,195,17,Scalable internet services,Scalable internet services,Image-based Rendering and Animation,Data cleaning
Victor Mitrana,74,French,Vi5@gmail.com,Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.,2010,ACM Transactions on Computer-Human Interaction,Mexico,214-5-17-100517-2,4.1929/10310398973494,50,162,16,Recommender Systems,language semantics,gene finding,Secure Passwords
Victor Mitrana,74,French,Vi5@gmail.com,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.,2006,ACM Transactions on Computer Systems,Israel,768-4-14-100698-1,4.413/1191051041164320,60,66,2,Numerical quadrature,language implementation,language semantics,Heating Ventilation
Lila Kari,43,Finnish,Li6@gmail.com,The Parsing Problem for Affix Grammars.,2013,ACM Transactions on Database Systems,Canada,652-3-0-100702-8,5.8643/991031091186135,50,125,11,Service and cloud computing,type theory,Malware,3D Modelling of Humans
Lila Kari,43,Finnish,Li6@gmail.com,On Efficient Entreeings.,2008,IEEE Transactions on Pattern Analysis and Machine Intelligence,Italy,593-5-0-100366-6,8.9215/98981221127173,81,173,6,Optimization,drug discovery,machine learning,drug design
Lila Kari,43,Finnish,Li6@gmail.com,Persistence of Vector Replacement Systems is Decidable.,2014,Algorithmica,China,288-0-5-100449-8,5.7659/1001001221185599,86,23,24,computer security,Avionics software,coordination and reliability,gene finding
Lila Kari,43,Finnish,Li6@gmail.com,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.,2008,IEEE Transactions on Pattern Analysis and Machine Intelligence,Italy,593-5-0-100366-6,8.9215/98981221127173,81,173,6,Declarative languages and runtime systems,artificial intelligence,data structures,language semantics
Ryszard Janicki,50,German,Ry8@gmail.com,Persistence of Vector Replacement Systems is Decidable.,2005,Decision Support Systems,Sweden,427-0-12-100429-6,1.3550/1221211031117984,77,195,17,Metadata management,vision and graphics,Computational Video,digital technology for older people
Ryszard Janicki,50,German,Ry8@gmail.com,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.,2013,ACM Transactions on Computer-Human Interaction,Mexico,214-5-17-100517-2,4.1929/10310398973494,50,162,16,Online Scams,Optimization,3D Scene Analysis,Deep Learning
Ryszard Janicki,50,German,Ry8@gmail.com,Inductive Completion with Retracts.,2012,Journal of Management Information Systems,Argetina,156-0-4-100452-4,1.3481/1181151111026356,82,137,21,Online Scams,computer security,computational economics,parallel and distributed computation
Ryszard Janicki,50,German,Ry8@gmail.com,Sometime = Always + Recursion = Always on the Equivalence of the Intermittent and Invariant Assertions Methods for Proving Inevitability Properties of Programs.,2013,Quantum Information & Computation,Canada,522-0-13-100675-6,3.9916/115105971031077,3,124,1,coordination and reliability,3D Modelling of Humans,Elementary and special functions,concurrency
Bruce Russell,25,Norwegian,Br11@gmail.com,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.,2007,Algorithmica,China,288-0-5-100449-8,5.7659/1001001221185599,86,23,24,3D Modelling of Humans,using data to design user interfaces,Augmented Reality,Telemetry
Bruce Russell,25,Norwegian,Br11@gmail.com,Functional Behavior in Data Spaces.,2012,IEEE Transactions on Fuzzy Systems,Ecuador,817-4-9-100423-0,1.5277/97117110113105,2,37,12,Privacy,data structures,Numerical quadrature,protein structure prediction
Bruce Russell,25,Norwegian,Br11@gmail.com,Complete Parameterized Families of Job Scheduling Strategies.,2005,Journal of Documentation,Argetina,570-7-12-100732-1,1.7381/101113981093336,28,74,28,Reinforcement Learning,digital technology for older people,Machine Learning for Computer Vision,data structures
Andrzej Ehrenfeucht,23,French,An0@gmail.com,Complete Parameterized Families of Job Scheduling Strategies.,2008,ACM Computing Surveys,Argetina,160-4-3-100721-5,2.9729/1151171171184545,65,30,11,type theory,Image-based Rendering and Animation,Malware,Safe Computing
Grzegorz Rozenberg,57,Swedish,Gr5@gmail.com,Sometime = Always + Recursion = Always on the Equivalence of the Intermittent and Invariant Assertions Methods for Proving Inevitability Properties of Programs.,2010,Artificial Intelligence,Ecuador,884-2-10-100626-4,6.446/1011041061042659,25,157,15,computational economics,Scalable data analysis and query processing,using data to design user interfaces,human-centred design in intelligent environments
Grzegorz Rozenberg,57,Swedish,Gr5@gmail.com,Complete Parameterized Families of Job Scheduling Strategies.,2008,ACM Computing Surveys,Argetina,160-4-3-100721-5,2.9729/1151171171184545,65,30,11,Energy lab,Data storage and physical design,networking,concurrency
Grzegorz Rozenberg,57,Swedish,Gr5@gmail.com,Dispatcher Primitives for the Construction of Operating System Kernels.,2013,Annual Review of Information Science and Technology,Brazil,716-6-11-100606-8,0.5624/103118110106696,37,89,21,Computer Vision,automated theorem proving,digital health,Telemetry
Rainer Kemp,27,Irish,Ra2@gmail.com,Sometime = Always + Recursion = Always on the Equivalence of the Intermittent and Invariant Assertions Methods for Proving Inevitability Properties of Programs.,2013,ACM Transactions on Graphics,Italy,457-8-10-100783-0,9.2664/1011171101154587,13,90,24,data transformation,Metadata management,vision and graphics,automata theory
Yijie Han,62,Italian,Yi0@gmail.com,Complete Parameterized Families of Job Scheduling Strategies.,2006,Artificial Intelligence,Ecuador,884-2-10-100626-4,6.446/1011041061042659,25,157,15,vision and graphics,Consistency,cryptography,program analysis
Yijie Han,62,Italian,Yi0@gmail.com,Modelling higher-order dual nondeterminacy.,2006,IEEE Transactions on Fuzzy Systems,Ecuador,817-4-9-100423-0,1.5277/97117110113105,2,37,12,computer security,automated theorem proving,Secure Passwords,Avionics software
Yijie Han,62,Italian,Yi0@gmail.com,Dispatcher Primitives for the Construction of Operating System Kernels.,2005,IEEE Transactions on Computers,Canada,196-7-0-100135-7,2.5793/1181021031108195,79,40,12,distributed programming,Finding roots of nonlinear equations,domain-specific languages,coordination and reliability
Yijie Han,62,Italian,Yi0@gmail.com,Compositional schedulability analysis of real-time actor-based systems.,2013,Machine Learning,Netherlands,187-6-5-100382-7,5.6142/100104991088801,85,138,12,Recommender Systems,machine learning,Robotics,Numerical quadrature
Yoshihide Igarashi,53,American,Yo4@gmail.com,Modelling higher-order dual nondeterminacy.,2010,Annual Review of Information Science and Technology,Brazil,716-6-11-100606-8,0.5624/103118110106696,37,89,21,drug discovery,quantum computation,artificial intelligence,Augmented Reality
Yoshihide Igarashi,53,American,Yo4@gmail.com,Dispatcher Primitives for the Construction of Operating System Kernels.,2011,ACM Transactions on Database Systems,Canada,652-3-0-100702-8,5.8643/991031091186135,50,125,11,protein structure alignment,language semantics,genome assembly,automated theorem proving
