"","X.1","X","AuthorName","Age","Nationality","email","ArticleTitle","YearPublished","ConferenceName","Location","ISBN","DOI","Volume","Npages","Edition","keyword1","keyword2","keyword3","keyword4","Reviewer1","Decision1","Reviewer2","Decision2","Reviewer3","Decision3","EditionName","Review1Name","Review2Name","Review3Name"
"11",11,11,"Norbert Blum",57,"British","No5@gmail.com","The Derivation of Systolic Implementations of Programs.",1987,"International Conference on Machine Learning","Brazil","804-2-6-100367-8","1.216/991201081055995",38,189,3,"Machine Learning","Deep learning","NPL","Reinforcement Learning","Nam H. Do",0,"Maria Rita Di Berardini",1,"J. Ian Munro",0,"International Conference on Machine Learning 3","Nam H. Do reviews  The Derivation of Systolic Implementations of Programs.","Maria Rita Di Berardini reviews  The Derivation of Systolic Implementations of Programs.","J. Ian Munro reviews  The Derivation of Systolic Implementations of Programs."
"12",12,12,"Norbert Blum",57,"British","No5@gmail.com","Fifo Nets Without Order Deadlock.",1988,"Conference on Empirical Methods in Natural Language Processing","Luxembourg","357-7-13-100621-7","3.4895/1161171201198977",37,81,22,"type theory","automated theorem proving","language semantics","computer security","Robin Milner",0,"M. Italiani",1,"Pradip K. Srimani",1,"Conference on Empirical Methods in Natural Language Processing 22","Robin Milner reviews  Fifo Nets Without Order Deadlock.","M. Italiani reviews  Fifo Nets Without Order Deadlock.","Pradip K. Srimani reviews  Fifo Nets Without Order Deadlock."
"13",13,13,"Juha Honkala",31,"German","Ju1@gmail.com","Fifo Nets Without Order Deadlock.",1988,"IEEE Transactions on Neural Networks and Learning Systems","Russia","253-5-13-100302-5","7.7955/1101221211108518",83,88,12,"Service and cloud computing","pervasive computing and collaboration","Energy lab","Scalable internet services","Jan Strejcek",0,"Xinxin Liu",0,"Carroll Morgan",1,"IEEE Transactions on Neural Networks and Learning Systems 12","Jan Strejcek reviews  Fifo Nets Without Order Deadlock.","Xinxin Liu reviews  Fifo Nets Without Order Deadlock.","Carroll Morgan reviews  Fifo Nets Without Order Deadlock."
"14",14,14,"Juha Honkala",31,"German","Ju1@gmail.com","On the Complementation Rule for Multivalued Dependencies in Database Relations.",1978,"IEEE Transactions on Neural Networks and Learning Systems","Israel","841-0-19-100447-0","0.5555/1081171011067451",78,139,8,"Service and cloud computing","pervasive computing and collaboration","Energy lab","Scalable internet services","Mark de Berg",1,"Armin B. Cremers",1,"Martin Kutrib",1,"IEEE Transactions on Neural Networks and Learning Systems 8","Mark de Berg reviews  On the Complementation Rule for Multivalued Dependencies in Database Relations.","Armin B. Cremers reviews  On the Complementation Rule for Multivalued Dependencies in Database Relations.","Martin Kutrib reviews  On the Complementation Rule for Multivalued Dependencies in Database Relations."
"15",15,15,"Juha Honkala",31,"German","Ju1@gmail.com","Equational weighted tree transformations.",2012,"IEEE Transactions on Neural Networks and Learning Systems","Sweden","830-4-12-100040-4","5.224/1161081101111772",74,114,28,"Service and cloud computing","pervasive computing and collaboration","Energy lab","Scalable internet services","Damien Pous",1,"Robert Endre Tarjan",1,"Peter Schorn",0,"IEEE Transactions on Neural Networks and Learning Systems 28","Damien Pous reviews  Equational weighted tree transformations.","Robert Endre Tarjan reviews  Equational weighted tree transformations.","Peter Schorn reviews  Equational weighted tree transformations."
"16",16,16,"Juha Honkala",31,"German","Ju1@gmail.com","Merged processes: a new condensed representation of Petri net behaviour.",2006,"IEEE Transactions on Neural Networks and Learning Systems","Brazil","804-2-6-100367-8","1.216/991201081055995",38,189,3,"Service and cloud computing","pervasive computing and collaboration","Energy lab","Scalable internet services","Norbert Ramsperger",0,"Carol Critchlow",0,"Ambuj K. Singh",0,"IEEE Transactions on Neural Networks and Learning Systems 3","Norbert Ramsperger reviews  Merged processes: a new condensed representation of Petri net behaviour.","Carol Critchlow reviews  Merged processes: a new condensed representation of Petri net behaviour.","Ambuj K. Singh reviews  Merged processes: a new condensed representation of Petri net behaviour."
"17",17,17,"Chua-Huang Huang",59,"Scottish","Ch9@gmail.com","Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.",2013,"Science","Netherlands","175-0-1-100082-0","3.7004/1021181091066417",67,52,18,"sequence alignment","gene finding","genome assembly","drug design","Boris Klebansky",0,"Grzegorz Rozenberg",0,"Marvin C. Paull",0,"Science 18","Boris Klebansky reviews  Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.","Grzegorz Rozenberg reviews  Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.","Marvin C. Paull reviews  Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos."
"18",18,18,"Christian Lengauer",54,"Mexican","Ch3@gmail.com","On the Complementation Rule for Multivalued Dependencies in Database Relations.",1978,"Information Sciences","Canada","309-8-1-100286-2","6.5709/1161181181072332",37,28,12,"sequence alignment","gene finding","genome assembly","drug design","Matthias Olk",0,"Tien Van Do",0,"S. B. Quiring",0,"Information Sciences 12","Matthias Olk reviews  On the Complementation Rule for Multivalued Dependencies in Database Relations.","Tien Van Do reviews  On the Complementation Rule for Multivalued Dependencies in Database Relations.","S. B. Quiring reviews  On the Complementation Rule for Multivalued Dependencies in Database Relations."
"19",19,19,"Christian Lengauer",54,"Mexican","Ch3@gmail.com","Equational weighted tree transformations.",2012,"Information Sciences","Canada","309-8-1-100286-2","6.5709/1161181181072332",37,28,14,"sequence alignment","gene finding","genome assembly","drug design","David Pager",1,"Zohar Manna",1,"Jan A. Bergstra",0,"Information Sciences 14","David Pager reviews  Equational weighted tree transformations.","Zohar Manna reviews  Equational weighted tree transformations.","Jan A. Bergstra reviews  Equational weighted tree transformations."
"20",20,20,"Christian Lengauer",54,"Mexican","Ch3@gmail.com","Merged processes: a new condensed representation of Petri net behaviour.",2006,"Information Sciences","Israel","208-1-1-100197-6","1.6572/11011997118516",19,59,21,"sequence alignment","gene finding","genome assembly","drug design","Antonella Santone",0,"Peter E. Bulychev",1,"Angelo Monti",1,"Information Sciences 21","Antonella Santone reviews  Merged processes: a new condensed representation of Petri net behaviour.","Peter E. Bulychev reviews  Merged processes: a new condensed representation of Petri net behaviour.","Angelo Monti reviews  Merged processes: a new condensed representation of Petri net behaviour."
"21",21,21,"Christian Lengauer",54,"Mexican","Ch3@gmail.com","Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.",2013,"Information Sciences","Australia","789-8-0-100595-4","3.8268/114106971112461",53,166,28,"sequence alignment","gene finding","genome assembly","drug design","George Markowsky",0,"Robert H. Sloan",0,"Hendrik Jan Hoogeboom",0,"Information Sciences 28","George Markowsky reviews  Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.","Robert H. Sloan reviews  Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.","Hendrik Jan Hoogeboom reviews  Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos."
"22",22,22,"Christian Lengauer",54,"Mexican","Ch3@gmail.com","A Three-Stage Construction for Multiconnection Networks.",1983,"International Conference on Machine Learning","Brazil","804-2-6-100367-8","1.216/991201081055995",38,189,3,"Machine Learning","Deep learning","NPL","Reinforcement Learning","Ram Chakka",0,"Marisa Venturini Zilli",0,"Gary T. Leavens",0,"International Conference on Machine Learning 3","Ram Chakka reviews  A Three-Stage Construction for Multiconnection Networks.","Marisa Venturini Zilli reviews  A Three-Stage Construction for Multiconnection Networks.","Gary T. Leavens reviews  A Three-Stage Construction for Multiconnection Networks."
"23",23,23,"Alain Finkel",32,"Scottish","Al7@gmail.com","Merged processes: a new condensed representation of Petri net behaviour.",2006,"International Conference on Machine Learning","Brazil","804-2-6-100367-8","1.216/991201081055995",38,189,3,"Machine Learning","Deep learning","NPL","Reinforcement Learning","J. V. Tucker",1,"Nam H. Do",1,"Jon Louis Bentley",0,"International Conference on Machine Learning 3","J. V. Tucker reviews  Merged processes: a new condensed representation of Petri net behaviour.","Nam H. Do reviews  Merged processes: a new condensed representation of Petri net behaviour.","Jon Louis Bentley reviews  Merged processes: a new condensed representation of Petri net behaviour."
"24",24,24,"Alain Finkel",32,"Scottish","Al7@gmail.com","Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.",2013,"Conference on Empirical Methods in Natural Language Processing","Luxembourg","357-7-13-100621-7","3.4895/1161171201198977",37,81,22,"type theory","automated theorem proving","language semantics","computer security","M. Italiani",1,"John Darlington",0,"Jurriaan Rot",1,"Conference on Empirical Methods in Natural Language Processing 22","M. Italiani reviews  Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.","John Darlington reviews  Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.","Jurriaan Rot reviews  Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos."
"25",25,25,"Alain Finkel",32,"Scottish","Al7@gmail.com","A Three-Stage Construction for Multiconnection Networks.",1983,"International Conference on Machine Learning","Brazil","804-2-6-100367-8","1.216/991201081055995",38,189,3,"Machine Learning","Deep learning","NPL","Reinforcement Learning","George Leih",1,"John K. Lee",0,"Roland Meyer",1,"International Conference on Machine Learning 3","George Leih reviews  A Three-Stage Construction for Multiconnection Networks.","John K. Lee reviews  A Three-Stage Construction for Multiconnection Networks.","Roland Meyer reviews  A Three-Stage Construction for Multiconnection Networks."
"26",26,26,"Alain Finkel",32,"Scottish","Al7@gmail.com","The Expressive Power of Delay Operators in SCCS.",1991,"IEEE Transactions on Cybernetics","Italy","222-4-14-100311-5","5.6164/11611197995254",78,117,4,"Service and cloud computing","pervasive computing and collaboration","Energy lab","Scalable internet services","Shyamal K. Chowdhury",1,"Hans Ulrich Simon",1,"Maria Rita Di Berardini",1,"IEEE Transactions on Cybernetics 4","Shyamal K. Chowdhury reviews  The Expressive Power of Delay Operators in SCCS.","Hans Ulrich Simon reviews  The Expressive Power of Delay Operators in SCCS.","Maria Rita Di Berardini reviews  The Expressive Power of Delay Operators in SCCS."
"27",27,27,"Annie Choquet",35,"Mexican","An1@gmail.com","Merged processes: a new condensed representation of Petri net behaviour.",2006,"Information Sciences","Canada","309-8-1-100286-2","6.5709/1161181181072332",37,28,14,"sequence alignment","gene finding","genome assembly","drug design","Ursula Goltz",1,"Philip Heidelberger",0,"Peter E. Bulychev",1,"Information Sciences 14","Ursula Goltz reviews  Merged processes: a new condensed representation of Petri net behaviour.","Philip Heidelberger reviews  Merged processes: a new condensed representation of Petri net behaviour.","Peter E. Bulychev reviews  Merged processes: a new condensed representation of Petri net behaviour."
"28",28,28,"Annie Choquet",35,"Mexican","An1@gmail.com","A Three-Stage Construction for Multiconnection Networks.",1983,"AAAI Conference on Artificial Intelligence","Israel","114-1-2-100068-3","9.4627/1141161181058171",67,108,6,"Machine Learning","Deep learning","NPL","Reinforcement Learning","Manfred Paul",1,"Romain Brenguier",0,"Martin Seysen",1,"AAAI Conference on Artificial Intelligence 6","Manfred Paul reviews  A Three-Stage Construction for Multiconnection Networks.","Romain Brenguier reviews  A Three-Stage Construction for Multiconnection Networks.","Martin Seysen reviews  A Three-Stage Construction for Multiconnection Networks."
"29",29,29,"Annie Choquet",35,"Mexican","An1@gmail.com","The Expressive Power of Delay Operators in SCCS.",1991,"IEEE Transactions on Information Theory","Argetina","120-1-11-100766-8","2.6564/113981201095993",9,193,5,"computational complexity","data structures","parallel and distributed computation","probabilistic computation","Ann E. Kelley Sobel",1,"Marco Pazzaglia",1,"Akhil Kumar 0001",0,"IEEE Transactions on Information Theory 5","Ann E. Kelley Sobel reviews  The Expressive Power of Delay Operators in SCCS.","Marco Pazzaglia reviews  The Expressive Power of Delay Operators in SCCS.","Akhil Kumar 0001 reviews  The Expressive Power of Delay Operators in SCCS."
"30",30,30,"Joachim Biskup",35,"Norwegian","Jo3@gmail.com","Calculi for Interaction.",1996,"IEEE Transactions on Image Processing","Brazil","741-5-14-100542-7","8.3886/101113120979356",3,172,14,"Computational Video","Image-based Rendering and Animation","3D Modelling of Humans","3D Scene Analysis","Damien Pous",0,"Hans-Peter Kriegel",0,"S. B. Quiring",1,"IEEE Transactions on Image Processing 14","Damien Pous reviews  Calculi for Interaction.","Hans-Peter Kriegel reviews  Calculi for Interaction.","S. B. Quiring reviews  Calculi for Interaction."
"31",31,31,"Symeon Bozapalidis",23,"Finnish","Sy15@gmail.com","The Expressive Power of Delay Operators in SCCS.",1991,"IEEE Transactions on Neural Networks and Learning Systems","Israel","841-0-19-100447-0","0.5555/1081171011067451",78,139,8,"Service and cloud computing","pervasive computing and collaboration","Energy lab","Scalable internet services","Thomas Klingler",1,"Yoshihide Igarashi",1,"Y. S. Tsai",0,"IEEE Transactions on Neural Networks and Learning Systems 8","Thomas Klingler reviews  The Expressive Power of Delay Operators in SCCS.","Yoshihide Igarashi reviews  The Expressive Power of Delay Operators in SCCS.","Y. S. Tsai reviews  The Expressive Power of Delay Operators in SCCS."
"32",32,32,"Symeon Bozapalidis",23,"Finnish","Sy15@gmail.com","Calculi for Interaction.",1996,"IEEE Transactions on Wireless Communications","Italy","329-6-18-100771-1","0.7893/116108111109163",89,145,25,"Service and cloud computing","pervasive computing and collaboration","Energy lab","Scalable internet services","P. F. Schuler",0,"Don Pigozzi",1,"Sanjit A. Seshia",0,"IEEE Transactions on Wireless Communications 25","P. F. Schuler reviews  Calculi for Interaction.","Don Pigozzi reviews  Calculi for Interaction.","Sanjit A. Seshia reviews  Calculi for Interaction."
"33",33,33,"Symeon Bozapalidis",23,"Finnish","Sy15@gmail.com","A Synthesis of Several Sorting Algorithms.",1978,"Annual Conference on Neural Information Processing Systems","Brazil","437-2-12-100288-0","1.7913/103109114976672",57,159,2,"Machine Learning","Deep learning","NPL","Reinforcement Learning","Amir Pnueli",1,"Demetres D. Kouvatsos",0,"Rob van Stee",0,"Annual Conference on Neural Information Processing Systems 2","Amir Pnueli reviews  A Synthesis of Several Sorting Algorithms.","Demetres D. Kouvatsos reviews  A Synthesis of Several Sorting Algorithms.","Rob van Stee reviews  A Synthesis of Several Sorting Algorithms."
"34",34,34,"George Rahonis",26,"American","Ge1@gmail.com","Calculi for Interaction.",1996,"IEEE Conference on Computer Vision and Pattern Recognition","Israel","208-1-1-100197-6","1.6572/11011997118516",19,59,21,"Computational Video","Image-based Rendering and Animation","3D Modelling of Humans","3D Scene Analysis","Yuri Breitbart",1,"Angelo Monti",0,"Nam H. Do",1,"IEEE Conference on Computer Vision and Pattern Recognition 21","Yuri Breitbart reviews  Calculi for Interaction.","Angelo Monti reviews  Calculi for Interaction.","Nam H. Do reviews  Calculi for Interaction."
"35",35,35,"George Rahonis",26,"American","Ge1@gmail.com","A Synthesis of Several Sorting Algorithms.",1978,"Conference on Empirical Methods in Natural Language Processing","Luxembourg","357-7-13-100621-7","3.4895/1161171201198977",37,81,22,"type theory","automated theorem proving","language semantics","computer security","Jeffrey D. Ullman",0,"B. Bartsch",1,"Benedek Nagy",0,"Conference on Empirical Methods in Natural Language Processing 22","Jeffrey D. Ullman reviews  A Synthesis of Several Sorting Algorithms.","B. Bartsch reviews  A Synthesis of Several Sorting Algorithms.","Benedek Nagy reviews  A Synthesis of Several Sorting Algorithms."
"36",36,36,"George Rahonis",26,"American","Ge1@gmail.com","Trace- and failure-based semantics for responsiveness.",2014,"European Conference on Computer Vision","Russia","253-5-13-100302-5","7.7955/1101221211108518",83,88,12,"Computational Video","Image-based Rendering and Animation","3D Modelling of Humans","3D Scene Analysis","Yuxi Fu",1,"Friedrich Otto",0,"Peter E. Bulychev",0,"European Conference on Computer Vision 12","Yuxi Fu reviews  Trace- and failure-based semantics for responsiveness.","Friedrich Otto reviews  Trace- and failure-based semantics for responsiveness.","Peter E. Bulychev reviews  Trace- and failure-based semantics for responsiveness."
"37",37,37,"Victor Khomenko",59,"Belgian","Vi5@gmail.com","Trace- and failure-based semantics for responsiveness.",2014,"IEEE Journal of Selected Areas in Communications","Germany","664-5-18-100102-7","8.69/991031061144082",6,125,6,"Service and cloud computing","pervasive computing and collaboration","Energy lab","Scalable internet services","Lorenzo Bettini",1,"Carlo Montangero",1,"Charles N. Fischer",1,"IEEE Journal of Selected Areas in Communications 6","Lorenzo Bettini reviews  Trace- and failure-based semantics for responsiveness.","Carlo Montangero reviews  Trace- and failure-based semantics for responsiveness.","Charles N. Fischer reviews  Trace- and failure-based semantics for responsiveness."
"38",38,38,"Alex Kondratyev",23,"Finnish","Al8@gmail.com","A Workload Model Representative of Static and Dynamic Characteristics.",1986,"AAAI Conference on Artificial Intelligence","Israel","114-1-2-100068-3","9.4627/1141161181058171",67,108,6,"Machine Learning","Deep learning","NPL","Reinforcement Learning","Nissim Francez",1,"Sven Schewe",0,"Andrzej Blikle",1,"AAAI Conference on Artificial Intelligence 6","Nissim Francez reviews  A Workload Model Representative of Static and Dynamic Characteristics.","Sven Schewe reviews  A Workload Model Representative of Static and Dynamic Characteristics.","Andrzej Blikle reviews  A Workload Model Representative of Static and Dynamic Characteristics."
"39",39,39,"Alex Kondratyev",23,"Finnish","Al8@gmail.com","Gray visiting Motzkins.",2002,"Annual Conference on Neural Information Processing Systems","Brazil","437-2-12-100288-0","1.7913/103109114976672",57,159,2,"Machine Learning","Deep learning","NPL","Reinforcement Learning","Rob J. van Glabbeek",1,"Andreas Malcher",0,"Houguang Yue",1,"Annual Conference on Neural Information Processing Systems 2","Rob J. van Glabbeek reviews  Gray visiting Motzkins.","Andreas Malcher reviews  Gray visiting Motzkins.","Houguang Yue reviews  Gray visiting Motzkins."
"40",40,40,"Alex Kondratyev",23,"Finnish","Al8@gmail.com","Trace- and failure-based semantics for responsiveness.",2014,"IEEE Transactions on Pattern Analysis and Machine Intelligence","Ecuador","738-8-4-100052-6","7.2263/1181101111226406",66,160,17,"computational complexity","data structures","parallel and distributed computation","probabilistic computation","Guangyuan Li",1,"Horst von Brand",1,"Arnold L. Rosenberg",0,"IEEE Transactions on Pattern Analysis and Machine Intelligence 17","Guangyuan Li reviews  Trace- and failure-based semantics for responsiveness.","Horst von Brand reviews  Trace- and failure-based semantics for responsiveness.","Arnold L. Rosenberg reviews  Trace- and failure-based semantics for responsiveness."
"41",41,41,"Maciej Koutny",20,"Belgian","Ma8@gmail.com","Trace- and failure-based semantics for responsiveness.",2014,"AAAI Conference on Artificial Intelligence","Israel","114-1-2-100068-3","9.4627/1141161181058171",67,108,6,"Machine Learning","Deep learning","NPL","Reinforcement Learning","Sang-Ki Ko",0,"Luke Hunsberger",1,"Nicolas Halbwachs",1,"AAAI Conference on Artificial Intelligence 6","Sang-Ki Ko reviews  Trace- and failure-based semantics for responsiveness.","Luke Hunsberger reviews  Trace- and failure-based semantics for responsiveness.","Nicolas Halbwachs reviews  Trace- and failure-based semantics for responsiveness."
"42",42,42,"Maciej Koutny",20,"Belgian","Ma8@gmail.com","Least Upper Bound on the Cost of Optimum Binary Search Trees.",1972,"Science","Netherlands","175-0-1-100082-0","3.7004/1021181091066417",67,52,18,"sequence alignment","gene finding","genome assembly","drug design","Lila Kari",0,"Ursula Goltz",1,"Rob van Stee",1,"Science 18","Lila Kari reviews  Least Upper Bound on the Cost of Optimum Binary Search Trees.","Ursula Goltz reviews  Least Upper Bound on the Cost of Optimum Binary Search Trees.","Rob van Stee reviews  Least Upper Bound on the Cost of Optimum Binary Search Trees."
"43",43,43,"Walter Vogler",19,"German","Wa4@gmail.com","Trace- and failure-based semantics for responsiveness.",2014,"Annual Conference on Neural Information Processing Systems","Brazil","437-2-12-100288-0","1.7913/103109114976672",57,159,2,"Machine Learning","Deep learning","NPL","Reinforcement Learning","Jianwen Su",0,"Adrian Atanasiu",0,"Huei-Jan Shyr",1,"Annual Conference on Neural Information Processing Systems 2","Jianwen Su reviews  Trace- and failure-based semantics for responsiveness.","Adrian Atanasiu reviews  Trace- and failure-based semantics for responsiveness.","Huei-Jan Shyr reviews  Trace- and failure-based semantics for responsiveness."
"44",44,44,"Walter Vogler",19,"German","Wa4@gmail.com","Branching Processes in the Analysis of the Heights of Trees.",1987,"Annual Conference on Neural Information Processing Systems","Brazil","437-2-12-100288-0","1.7913/103109114976672",57,159,2,"Machine Learning","Deep learning","NPL","Reinforcement Learning","Teruo Hikita",0,"Adam L. Buchsbaum",0,"Isi Mitrani",1,"Annual Conference on Neural Information Processing Systems 2","Teruo Hikita reviews  Branching Processes in the Analysis of the Heights of Trees.","Adam L. Buchsbaum reviews  Branching Processes in the Analysis of the Heights of Trees.","Isi Mitrani reviews  Branching Processes in the Analysis of the Heights of Trees."
"45",45,45,"Wim H. Hesselink",49,"Italian","Wi17@gmail.com","Branching Processes in the Analysis of the Heights of Trees.",1987,"Science","Netherlands","175-0-1-100082-0","3.7004/1021181091066417",67,52,18,"sequence alignment","gene finding","genome assembly","drug design","Jurriaan Rot",1,"Nathan Goodman",1,"Karsten Schmidt 0004",0,"Science 18","Jurriaan Rot reviews  Branching Processes in the Analysis of the Heights of Trees.","Nathan Goodman reviews  Branching Processes in the Analysis of the Heights of Trees.","Karsten Schmidt 0004 reviews  Branching Processes in the Analysis of the Heights of Trees."
"46",46,46,"Christian Ronse",24,"Canadian","Ch18@gmail.com","Least Upper Bound on the Cost of Optimum Binary Search Trees.",1972,"IEEE Journal of Selected Areas in Communications","Germany","664-5-18-100102-7","8.69/991031061144082",6,125,6,"Service and cloud computing","pervasive computing and collaboration","Energy lab","Scalable internet services","Sanguthevar Rajasekaran",1,"Stefano Varricchio",1,"Ekkart Kindler",1,"IEEE Journal of Selected Areas in Communications 6","Sanguthevar Rajasekaran reviews  Least Upper Bound on the Cost of Optimum Binary Search Trees.","Stefano Varricchio reviews  Least Upper Bound on the Cost of Optimum Binary Search Trees.","Ekkart Kindler reviews  Least Upper Bound on the Cost of Optimum Binary Search Trees."
