"","X.1","X","AuthorName","Age","Nationality","email","ArticleTitle","YearPublished","JournalName","Location","ISBN","DOI","Volume","Npages","Edition","keyword1","keyword2","keyword3","keyword4","Reviewer1","Decision1","Reviewer2","Decision2","Reviewer3","Decision3","VolumeName","Review1Name","Review2Name","Review3Name"
"12",12,12,"Chua-Huang Huang",59,"Scottish","Ch9@gmail.com","Equational weighted tree transformations.",2010,"Decision Support Systems","Sweden","427-0-12-100429-6","1.3550/1221211031117984","77","195",17,"Telephony","Data Breaches","drug design","Recommender Systems","Carroll Morgan",0,"Arnold L. Rosenberg",1,"Patrick Cousot",0,"Decision Support Systems 77","Carroll Morgan reviews  Equational weighted tree transformations.","Arnold L. Rosenberg reviews  Equational weighted tree transformations.","Patrick Cousot reviews  Equational weighted tree transformations."
"13",13,13,"Chua-Huang Huang",59,"Scottish","Ch9@gmail.com","Merged processes: a new condensed representation of Petri net behaviour.",2011,"Decision Support Systems","Sweden","427-0-12-100429-6","1.3550/1221211031117984","77","195",17,"machine learning","Delay-tolerant networking","Data storage and physical design","computational economics","Wolfgang Merzenich",1,"S. Kiran Kumar",1,"Gheorghe Paun",1,"Decision Support Systems 77","Wolfgang Merzenich reviews  Merged processes: a new condensed representation of Petri net behaviour.","S. Kiran Kumar reviews  Merged processes: a new condensed representation of Petri net behaviour.","Gheorghe Paun reviews  Merged processes: a new condensed representation of Petri net behaviour."
"14",14,14,"Alain Finkel",32,"Scottish","Al7@gmail.com","Equational weighted tree transformations.",2009,"IEEE Transactions on Pattern Analysis and Machine Intelligence","Italy","593-5-0-100366-6","8.9215/98981221127173","81","173",6,"Energy lab","Numerical linear algebra","Numerical linear algebra","affective computing","Andrei P. Ershov",1,"Chen-Ming Fan",0,"Mark de Berg",1,"IEEE Transactions on Pattern Analysis and Machine Intelligence 81","Andrei P. Ershov reviews  Equational weighted tree transformations.","Chen-Ming Fan reviews  Equational weighted tree transformations.","Mark de Berg reviews  Equational weighted tree transformations."
"15",15,15,"Annie Choquet",35,"Mexican","An1@gmail.com","Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.",2013,"Neural Computation","Australia","710-0-11-100051-3","7.1395/9711399972279","23","81",4,"Data storage and physical design","Augmented Reality","Metadata management","Telemetry","Rajan Suri",0,"Mark H. Overmars",1,"Ralph-Johan Back",1,"Neural Computation 23","Rajan Suri reviews  Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.","Mark H. Overmars reviews  Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.","Ralph-Johan Back reviews  Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos."
"16",16,16,"Annie Choquet",35,"Mexican","An1@gmail.com","Calculi for Interaction.",2007,"ACM Transactions on Database Systems","Canada","652-3-0-100702-8","5.8643/991031091186135","50","125",11,"Consistency","Image-based Rendering and Animation","Optimization","domain-specific languages","Matthew Hennessy",1,"Eike Best",0,"Zohar Manna",0,"ACM Transactions on Database Systems 50","Matthew Hennessy reviews  Calculi for Interaction.","Eike Best reviews  Calculi for Interaction.","Zohar Manna reviews  Calculi for Interaction."
"17",17,17,"Joachim Biskup",35,"Norwegian","Jo3@gmail.com","Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.",2006,"Decision Support Systems","Sweden","427-0-12-100429-6","1.3550/1221211031117984","77","195",17,"Elementary and special functions","computational biology","Interpolation and approximation","Machine Learning","Prakash Panangaden",1,"Michael Evangelist",0,"Sang-Ki Ko",0,"Decision Support Systems 77","Prakash Panangaden reviews  Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.","Michael Evangelist reviews  Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.","Sang-Ki Ko reviews  Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos."
"18",18,18,"Joachim Biskup",35,"Norwegian","Jo3@gmail.com","A Three-Stage Construction for Multiconnection Networks.",2011,"ACM Transactions on Computer Systems","Israel","768-4-14-100698-1","4.413/1191051041164320","60","66",2,"Optimization","3D Scene Analysis","3D Modelling of Humans","database systems","Michael Bertol",1,"Luc Devroye",1,"John Darlington",1,"ACM Transactions on Computer Systems 60","Michael Bertol reviews  A Three-Stage Construction for Multiconnection Networks.","Luc Devroye reviews  A Three-Stage Construction for Multiconnection Networks.","John Darlington reviews  A Three-Stage Construction for Multiconnection Networks."
"19",19,19,"Joachim Biskup",35,"Norwegian","Jo3@gmail.com","The Expressive Power of Delay Operators in SCCS.",2005,"Journal of Documentation","Argetina","570-7-12-100732-1","1.7381/101113981093336","28","74",28,"distributed programming","Mobile Protection","Delay-tolerant networking","Technology-enhanced learning","Raymond R. Devillers",0,"Sanjit A. Seshia",0,"Frank Wm. Tompa",0,"Journal of Documentation 28","Raymond R. Devillers reviews  The Expressive Power of Delay Operators in SCCS.","Sanjit A. Seshia reviews  The Expressive Power of Delay Operators in SCCS.","Frank Wm. Tompa reviews  The Expressive Power of Delay Operators in SCCS."
"20",20,20,"Joachim Biskup",35,"Norwegian","Jo3@gmail.com","A Synthesis of Several Sorting Algorithms.",2005,"Artificial Intelligence","Ecuador","884-2-10-100626-4","6.446/1011041061042659","25","157",15,"Internet of Things","digital health","Elementary and special functions","Scalable data analysis and query processing","John K. Lee",0,"Joseph M. Morris",1,"Friedrich L. Bauer",0,"Artificial Intelligence 25","John K. Lee reviews  A Synthesis of Several Sorting Algorithms.","Joseph M. Morris reviews  A Synthesis of Several Sorting Algorithms.","Friedrich L. Bauer reviews  A Synthesis of Several Sorting Algorithms."
"21",21,21,"Symeon Bozapalidis",23,"Finnish","Sy15@gmail.com","A Three-Stage Construction for Multiconnection Networks.",2008,"ACM Transactions on Algorithms","Australia","464-1-18-100009-6","2.2853/105117991209420","46","58",14,"domain-specific languages","Biomedical Image Analysis","language semantics","Optimization","Leonidas J. Guibas",0,"John Darlington",0,"Huei-Jan Shyr",1,"ACM Transactions on Algorithms 46","Leonidas J. Guibas reviews  A Three-Stage Construction for Multiconnection Networks.","John Darlington reviews  A Three-Stage Construction for Multiconnection Networks.","Huei-Jan Shyr reviews  A Three-Stage Construction for Multiconnection Networks."
"22",22,22,"Symeon Bozapalidis",23,"Finnish","Sy15@gmail.com","A Workload Model Representative of Static and Dynamic Characteristics.",2008,"IEEE Transactions on Computers","Canada","196-7-0-100135-7","2.5793/1181021031108195","79","40",12,"Safe Computing","Deep Learning","Data cleaning","digital technology for older people","Zohar Manna",1,"Victor Mitrana",1,"Jan Janousek",1,"IEEE Transactions on Computers 79","Zohar Manna reviews  A Workload Model Representative of Static and Dynamic Characteristics.","Victor Mitrana reviews  A Workload Model Representative of Static and Dynamic Characteristics.","Jan Janousek reviews  A Workload Model Representative of Static and Dynamic Characteristics."
"23",23,23,"George Rahonis",26,"American","Ge1@gmail.com","A Workload Model Representative of Static and Dynamic Characteristics.",2007,"ACM Computing Surveys","Argetina","160-4-3-100721-5","2.9729/1151171171184545","65","30",11,"Secure Passwords","protein structure alignment","using data to design user interfaces","automata theory","Paul H. B. Gardiner",1,"Giora Slutzki",0,"Kamilla Klonowska",1,"ACM Computing Surveys 65","Paul H. B. Gardiner reviews  A Workload Model Representative of Static and Dynamic Characteristics.","Giora Slutzki reviews  A Workload Model Representative of Static and Dynamic Characteristics.","Kamilla Klonowska reviews  A Workload Model Representative of Static and Dynamic Characteristics."
"24",24,24,"George Rahonis",26,"American","Ge1@gmail.com","Gray visiting Motzkins.",2014,"ACM Transactions on Graphics","Italy","457-8-10-100783-0","9.2664/1011171101154587","13","90",24,"Medical device software","automated theorem proving","Data storage and physical design","parallel and distributed computation","Marco Roccetti",1,"Andrei P. Ershov",0,"Vijay K. Vaishnavi",0,"ACM Transactions on Graphics 13","Marco Roccetti reviews  Gray visiting Motzkins.","Andrei P. Ershov reviews  Gray visiting Motzkins.","Vijay K. Vaishnavi reviews  Gray visiting Motzkins."
"25",25,25,"Victor Khomenko",59,"Belgian","Vi5@gmail.com","A Synthesis of Several Sorting Algorithms.",2014,"Journal of Cryptology","Australia","819-2-11-100382-5","6.6117/117121115106231","51","104",17,"Robotics","computational biology","human-centred design in intelligent environments","Electronic warfare engineering","Peter Lipps",0,"Raphael A. Finkel",1,"Isi Mitrani",0,"Journal of Cryptology 51","Peter Lipps reviews  A Synthesis of Several Sorting Algorithms.","Raphael A. Finkel reviews  A Synthesis of Several Sorting Algorithms.","Isi Mitrani reviews  A Synthesis of Several Sorting Algorithms."
"26",26,26,"Victor Khomenko",59,"Belgian","Vi5@gmail.com","A Workload Model Representative of Static and Dynamic Characteristics.",2011,"Journal of Documentation","Argetina","570-7-12-100732-1","1.7381/101113981093336","28","74",28,"Medical device software","Avionics software","Elementary and special functions","Consistency","George Rahonis",0,"Wojciech Fraczak",1,"Symeon Bozapalidis",0,"Journal of Documentation 28","George Rahonis reviews  A Workload Model Representative of Static and Dynamic Characteristics.","Wojciech Fraczak reviews  A Workload Model Representative of Static and Dynamic Characteristics.","Symeon Bozapalidis reviews  A Workload Model Representative of Static and Dynamic Characteristics."
"27",27,27,"Victor Khomenko",59,"Belgian","Vi5@gmail.com","Gray visiting Motzkins.",2011,"IEEE Transactions on Fuzzy Systems","Ecuador","817-4-9-100423-0","1.5277/97117110113105","2","37",12,"parallel and distributed computation","Service and cloud computing","Service and cloud computing","coordination and reliability","Robin Milner",0,"Matthew Hennessy",1,"Jacques Lenfant",0,"IEEE Transactions on Fuzzy Systems 2","Robin Milner reviews  Gray visiting Motzkins.","Matthew Hennessy reviews  Gray visiting Motzkins.","Jacques Lenfant reviews  Gray visiting Motzkins."
"28",28,28,"Victor Khomenko",59,"Belgian","Vi5@gmail.com","Branching Processes in the Analysis of the Heights of Trees.",2005,"Decision Support Systems","Sweden","427-0-12-100429-6","1.3550/1221211031117984","77","195",17,"protein structure prediction","protein structure prediction","Data storage and physical design","Medical device software","Angelo Montanari",0,"Borivoj Melichar",0,"Michael Evangelist",0,"Decision Support Systems 77","Angelo Montanari reviews  Branching Processes in the Analysis of the Heights of Trees.","Borivoj Melichar reviews  Branching Processes in the Analysis of the Heights of Trees.","Michael Evangelist reviews  Branching Processes in the Analysis of the Heights of Trees."
"29",29,29,"Alex Kondratyev",23,"Finnish","Al8@gmail.com","Branching Processes in the Analysis of the Heights of Trees.",2006,"Journal of Management Information Systems","Argetina","156-0-4-100452-4","1.3481/1181151111026356","82","137",21,"Machine Learning","pervasive computing and collaboration","language implementation","parallel and distributed computation","Kim G. Larsen",0,"Joachim Biskup",1,"Carol Critchlow",1,"Journal of Management Information Systems 82","Kim G. Larsen reviews  Branching Processes in the Analysis of the Heights of Trees.","Joachim Biskup reviews  Branching Processes in the Analysis of the Heights of Trees.","Carol Critchlow reviews  Branching Processes in the Analysis of the Heights of Trees."
"30",30,30,"Alex Kondratyev",23,"Finnish","Al8@gmail.com","Least Upper Bound on the Cost of Optimum Binary Search Trees.",2008,"Machine Learning","Netherlands","187-6-5-100382-7","5.6142/100104991088801","85","138",12,"automated theorem proving","distributed programming","language semantics","Telephony","Yijie Han",0,"Walter Vogler",1,"M. W. Shields",1,"Machine Learning 85","Yijie Han reviews  Least Upper Bound on the Cost of Optimum Binary Search Trees.","Walter Vogler reviews  Least Upper Bound on the Cost of Optimum Binary Search Trees.","M. W. Shields reviews  Least Upper Bound on the Cost of Optimum Binary Search Trees."
"31",31,31,"Maciej Koutny",20,"Belgian","Ma8@gmail.com","Gray visiting Motzkins.",2009,"Information Research-An International Electronic Journal","Germany","292-1-15-100463-5","9.6614/1111121121084242","69","91",5,"quantum computation","Finding roots of nonlinear equations","type theory","Numerical linear algebra","Patrick Cousot",1,"Karel Culik II",1,"Enrico Tronci",0,"Information Research-An International Electronic Journal 69","Patrick Cousot reviews  Gray visiting Motzkins.","Karel Culik II reviews  Gray visiting Motzkins.","Enrico Tronci reviews  Gray visiting Motzkins."
"32",32,32,"Maciej Koutny",20,"Belgian","Ma8@gmail.com","Branching Processes in the Analysis of the Heights of Trees.",2011,"Information Research-An International Electronic Journal","Germany","292-1-15-100463-5","9.6614/1111121121084242","69","91",5,"vision and graphics","Elementary and special functions","data transformation","Secure data processing","Jan A. Bergstra",0,"Jean Berstel",0,"Paul H. B. Gardiner",0,"Information Research-An International Electronic Journal 69","Jan A. Bergstra reviews  Branching Processes in the Analysis of the Heights of Trees.","Jean Berstel reviews  Branching Processes in the Analysis of the Heights of Trees.","Paul H. B. Gardiner reviews  Branching Processes in the Analysis of the Heights of Trees."
"33",33,33,"Maciej Koutny",20,"Belgian","Ma8@gmail.com","The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.",2006,"Quantum Information & Computation","Canada","522-0-13-100675-6","3.9916/115105971031077","3","124",1,"Elementary and special functions","computational biology","concurrency","Online Scams","Qing Ding",0,"Timothy A. Budd",1,"Kevin C. Kahn",1,"Quantum Information & Computation 3","Qing Ding reviews  The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.","Timothy A. Budd reviews  The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.","Kevin C. Kahn reviews  The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue."
"34",34,34,"Walter Vogler",19,"German","Wa4@gmail.com","Least Upper Bound on the Cost of Optimum Binary Search Trees.",2008,"Quantum Information & Computation","Canada","522-0-13-100675-6","3.9916/115105971031077","3","124",1,"Mobile Protection","coordination and reliability","distributed programming","digital health","Volker Claus",0,"Sang-Ki Ko",1,"S. Arun-Kumar",1,"Quantum Information & Computation 3","Volker Claus reviews  Least Upper Bound on the Cost of Optimum Binary Search Trees.","Sang-Ki Ko reviews  Least Upper Bound on the Cost of Optimum Binary Search Trees.","S. Arun-Kumar reviews  Least Upper Bound on the Cost of Optimum Binary Search Trees."
"35",35,35,"Walter Vogler",19,"German","Wa4@gmail.com","The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.",2007,"Journal of Cryptology","Australia","819-2-11-100382-5","6.6117/117121115106231","51","104",17,"protein structure alignment","digital technology for older people","Augmented Reality","protein structure alignment","Wlodzimierz Drabent",1,"Gunter Bolch",1,"Armin B. Cremers",0,"Journal of Cryptology 51","Wlodzimierz Drabent reviews  The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.","Gunter Bolch reviews  The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.","Armin B. Cremers reviews  The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue."
"36",36,36,"Wim H. Hesselink",49,"Italian","Wi17@gmail.com","Least Upper Bound on the Cost of Optimum Binary Search Trees.",2012,"ACM Transactions on Algorithms","Australia","464-1-18-100009-6","2.2853/105117991209420","46","58",14,"Data Breaches","Robotics","Computer Vision","Delay-tolerant networking","Alan J. Perlis",0,"Gheorghe Paun",0,"Michael Bertol",1,"ACM Transactions on Algorithms 46","Alan J. Perlis reviews  Least Upper Bound on the Cost of Optimum Binary Search Trees.","Gheorghe Paun reviews  Least Upper Bound on the Cost of Optimum Binary Search Trees.","Michael Bertol reviews  Least Upper Bound on the Cost of Optimum Binary Search Trees."
"37",37,37,"Wim H. Hesselink",49,"Italian","Wi17@gmail.com","The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.",2009,"Journal of Management Information Systems","Argetina","156-0-4-100452-4","1.3481/1181151111026356","82","137",21,"Consistency","Deep Learning","Mobile Protection","Avionics software","Grzegorz Rozenberg",1,"Ferucio Laurentiu Tiplea",0,"Friedrich Otto",1,"Journal of Management Information Systems 82","Grzegorz Rozenberg reviews  The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.","Ferucio Laurentiu Tiplea reviews  The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.","Friedrich Otto reviews  The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue."
"38",38,38,"Wim H. Hesselink",49,"Italian","Wi17@gmail.com","Maximum Entropy and theG/G/1/NQueue.",2005,"Neural Computation","Australia","710-0-11-100051-3","7.1395/9711399972279","23","81",4,"artificial intelligence","machine learning","Internet of Things","Delay-tolerant networking","Chua-Huang Huang",0,"Michel Bidoit",0,"Michael Evangelist",0,"Neural Computation 23","Chua-Huang Huang reviews  Maximum Entropy and theG/G/1/NQueue.","Michel Bidoit reviews  Maximum Entropy and theG/G/1/NQueue.","Michael Evangelist reviews  Maximum Entropy and theG/G/1/NQueue."
"39",39,39,"Christian Ronse",24,"Canadian","Ch18@gmail.com","Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.",2011,"ACM Transactions on Database Systems","Canada","652-3-0-100702-8","5.8643/991031091186135","50","125",11,"language semantics","Malware","digital health","parallel and distributed computation","Sergei Gorlatch",1,"Ferucio Laurentiu Tiplea",0,"Wayne A. Babich",1,"ACM Transactions on Database Systems 50","Sergei Gorlatch reviews  Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.","Ferucio Laurentiu Tiplea reviews  Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.","Wayne A. Babich reviews  Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach."
"40",40,40,"Carol Critchlow",19,"Irish","Ca7@gmail.com","Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.",2007,"Information Research-An International Electronic Journal","Germany","292-1-15-100463-5","9.6614/1111121121084242","69","91",5,"pervasive computing and collaboration","Machine Learning","networking","Deep Learning","Wim H. Hesselink",0,"Sergei Gorlatch",0,"Philippe Darondeau",1,"Information Research-An International Electronic Journal 69","Wim H. Hesselink reviews  Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.","Sergei Gorlatch reviews  Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.","Philippe Darondeau reviews  Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach."
"41",41,41,"Prakash Panangaden",72,"Finnish","Pr9@gmail.com","Maximum Entropy and theG/G/1/NQueue.",2008,"ACM Computing Surveys","Argetina","160-4-3-100721-5","2.9729/1151171171184545","65","30",11,"concurrency","drug discovery","networking","computer security","Joseph M. Morris",1,"Zheng-Zhu Li",0,"Sang-Ki Ko",1,"ACM Computing Surveys 65","Joseph M. Morris reviews  Maximum Entropy and theG/G/1/NQueue.","Zheng-Zhu Li reviews  Maximum Entropy and theG/G/1/NQueue.","Sang-Ki Ko reviews  Maximum Entropy and theG/G/1/NQueue."
"42",42,42,"Prakash Panangaden",72,"Finnish","Pr9@gmail.com","A theory of structural stationarity in thepi-Calculus.",2008,"ACM Computing Surveys","Argetina","160-4-3-100721-5","2.9729/1151171171184545","65","30",11,"Natural Language Processing","Electronic warfare engineering","digital health","affective computing","Jozef Gruska",1,"Tien Van Do",1,"Kai Salomaa",1,"ACM Computing Surveys 65","Jozef Gruska reviews  A theory of structural stationarity in thepi-Calculus.","Tien Van Do reviews  A theory of structural stationarity in thepi-Calculus.","Kai Salomaa reviews  A theory of structural stationarity in thepi-Calculus."
"43",43,43,"Robin Milner",64,"Italian","Ro0@gmail.com","A theory of structural stationarity in thepi-Calculus.",2011,"Algorithmica","China","288-0-5-100449-8","5.7659/1001001221185599","86","23",24,"pervasive computing and collaboration","Finding roots of nonlinear equations","database systems","database systems","Thierry Fleury",1,"Daniela Petrisan",0,"Roland Meyer",0,"Algorithmica 86","Thierry Fleury reviews  A theory of structural stationarity in thepi-Calculus.","Daniela Petrisan reviews  A theory of structural stationarity in thepi-Calculus.","Roland Meyer reviews  A theory of structural stationarity in thepi-Calculus."
"44",44,44,"John Darlington",26,"Swedish","Jo11@gmail.com","Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.",2005,"Journal of Management Information Systems","Argetina","156-0-4-100452-4","1.3481/1181151111026356","82","137",21,"Natural Language Processing","data transformation","protein structure prediction","coordination and reliability","Robert T. Moenck",0,"Andrzej Duda",1,"Hendrik Jan Hoogeboom",0,"Journal of Management Information Systems 82","Robert T. Moenck reviews  Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.","Andrzej Duda reviews  Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.","Hendrik Jan Hoogeboom reviews  Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach."
"45",45,45,"John Darlington",26,"Swedish","Jo11@gmail.com","Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.",2005,"Journal of Management Information Systems","Argetina","156-0-4-100452-4","1.3481/1181151111026356","82","137",21,"Online Scams","computational complexity","Deep Learning","Interpolation and approximation","Achim D. Brucker",1,"J. Ian Munro",1,"Marc J. van Kreveld",0,"Journal of Management Information Systems 82","Achim D. Brucker reviews  Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.","J. Ian Munro reviews  Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.","Marc J. van Kreveld reviews  Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells."
